Date,OIL,GOLD,USDIDR,SP500,IHSG,VIX,CPI,BI_rate,US_rate
2010-01-01,,,9385.599609375,,,,5.13420639015885,6.5,0.11
2010-01-04,81.51000213623047,1117.699951171875,9364.2001953125,1132.989990234375,2575.31298828125,20.040000915527344,5.13420639015885,6.5,0.11
2010-01-05,81.7699966430664,1118.0999755859375,9305.2001953125,1136.52001953125,2605.175537109375,19.350000381469727,5.13420639015885,6.5,0.11
2010-01-06,83.18000030517578,1135.9000244140625,9218.099609375,1137.1400146484375,2603.195556640625,19.15999984741211,5.13420639015885,6.5,0.11
2010-01-07,82.66000366210938,1133.0999755859375,9272.5,1141.68994140625,2586.794189453125,19.059999465942383,5.13420639015885,6.5,0.11
2010-01-08,82.75,1138.199951171875,9212.7001953125,1144.97998046875,2614.268310546875,18.1299991607666,5.13420639015885,6.5,0.11
2010-01-11,82.5199966430664,1150.699951171875,9148.099609375,1146.97998046875,2632.1015625,17.549999237060547,5.13420639015885,6.5,0.11
2010-01-12,80.79000091552734,1128.9000244140625,9171.0,1136.219970703125,2659.447265625,18.25,5.13420639015885,6.5,0.11
2010-01-13,79.6500015258789,1136.4000244140625,9141.0,1145.6800537109375,2632.76953125,17.850000381469727,5.13420639015885,6.5,0.11
2010-01-14,79.38999938964844,1142.5999755859375,9155.7998046875,1148.4599609375,2645.077880859375,17.6299991607666,5.13420639015885,6.5,0.11
2010-01-15,78.0,1130.0999755859375,9226.099609375,1136.030029296875,2646.987060546875,17.90999984741211,5.13420639015885,6.5,0.11
2010-01-18,78.0,1130.0999755859375,9130.0,1136.030029296875,2642.445068359375,17.90999984741211,5.13420639015885,6.5,0.11
2010-01-19,79.0199966430664,1139.699951171875,9229.9501953125,1150.22998046875,2665.96728515625,17.579999923706055,5.13420639015885,6.5,0.11
2010-01-20,77.62000274658203,1112.300048828125,9294.9501953125,1138.0400390625,2667.162353515625,18.68000030517578,5.13420639015885,6.5,0.11
2010-01-21,76.08000183105469,1102.699951171875,9183.0,1116.47998046875,2638.279541015625,22.270000457763672,5.13420639015885,6.5,0.11
2010-01-22,74.54000091552734,1089.199951171875,9240.0,1091.760009765625,2610.238525390625,27.309999465942383,5.13420639015885,6.5,0.11
2010-01-25,75.26000213623047,1095.199951171875,9319.9501953125,1096.780029296875,2597.759033203125,25.40999984741211,5.13420639015885,6.5,0.11
2010-01-26,74.70999908447266,1097.9000244140625,9379.9501953125,1092.1700439453125,2578.314697265625,24.549999237060547,5.13420639015885,6.5,0.11
2010-01-27,73.66999816894531,1084.4000244140625,9399.9501953125,1097.5,2564.454345703125,23.139999389648438,5.13420639015885,6.5,0.11
2010-01-28,73.63999938964844,1083.5999755859375,9324.9501953125,1084.530029296875,2619.463134765625,23.729999542236328,5.13420639015885,6.5,0.11
2010-01-29,72.88999938964844,1083.0,9250.0,1073.8699951171875,2610.6943359375,24.6200008392334,5.13420639015885,6.5,0.11
2010-02-01,74.43000030517578,1104.300048828125,9256.400390625,1089.18994140625,2587.4482421875,22.59000015258789,5.13420639015885,6.5,0.13
2010-02-02,77.2300033569336,1117.4000244140625,9313.7001953125,1103.3199462890625,2580.150634765625,21.479999542236328,5.13420639015885,6.5,0.13
2010-02-03,76.9800033569336,1111.4000244140625,9364.599609375,1097.280029296875,2604.447509765625,21.600000381469727,5.13420639015885,6.5,0.13
2010-02-04,73.13999938964844,1062.4000244140625,9386.900390625,1063.1099853515625,2593.119140625,26.079999923706055,5.13420639015885,6.5,0.13
2010-02-05,71.19000244140625,1052.199951171875,9468.099609375,1066.18994140625,2518.878173828125,26.110000610351562,5.13420639015885,6.5,0.13
2010-02-08,71.88999938964844,1065.699951171875,9484.5,1056.739990234375,2475.4755859375,26.510000228881836,5.13420639015885,6.5,0.13
2010-02-09,73.75,1076.699951171875,9339.2998046875,1070.52001953125,2489.388427734375,26.0,5.13420639015885,6.5,0.13
2010-02-10,74.5199966430664,1075.800048828125,9314.400390625,1068.1300048828125,2483.34130859375,25.399999618530273,5.13420639015885,6.5,0.13
2010-02-11,75.27999877929688,1094.199951171875,9330.099609375,1078.469970703125,2507.653564453125,23.959999084472656,5.13420639015885,6.5,0.13
2010-02-12,74.12999725341797,1089.5,9323.7001953125,1075.510009765625,2534.038330078125,22.729999542236328,5.13420639015885,6.5,0.13
2010-02-15,74.12999725341797,1089.5,9344.7998046875,1075.510009765625,2517.358154296875,22.729999542236328,5.13420639015885,6.5,0.13
2010-02-16,77.01000213623047,1119.300048828125,9292.900390625,1094.8699951171875,2558.4052734375,22.25,5.13420639015885,6.5,0.13
2010-02-17,77.33000183105469,1119.5,9400.599609375,1099.510009765625,2581.23974609375,21.719999313354492,5.13420639015885,6.5,0.13
2010-02-18,79.05999755859375,1118.0,9499.7998046875,1106.75,2559.934326171875,20.6299991607666,5.13420639015885,6.5,0.13
2010-02-19,79.80999755859375,1121.300048828125,9292.2001953125,1109.1700439453125,2554.2763671875,20.020000457763672,5.13420639015885,6.5,0.13
2010-02-22,80.16000366210938,1112.5999755859375,9281.7001953125,1108.010009765625,2564.163330078125,19.940000534057617,5.13420639015885,6.5,0.13
2010-02-23,78.86000061035156,1102.699951171875,9341.7998046875,1094.5999755859375,2583.550048828125,21.3700008392334,5.13420639015885,6.5,0.13
2010-02-24,80.0,1096.5,9352.2998046875,1105.239990234375,2579.315673828125,20.270000457763672,5.13420639015885,6.5,0.13
2010-02-25,78.16999816894531,1107.800048828125,9335.2001953125,1102.93994140625,2548.933837890625,20.100000381469727,5.13420639015885,6.5,0.13
2010-02-26,79.66000366210938,1118.300048828125,9340.0,1104.489990234375,2548.933837890625,19.5,5.13420639015885,6.5,0.13
2010-03-01,78.69999694824219,1117.800048828125,9385.099609375,1115.7099609375,2554.574462890625,19.260000228881836,5.13420639015885,6.5,0.16
2010-03-02,79.68000030517578,1136.9000244140625,9184.400390625,1118.31005859375,2576.49072265625,19.059999465942383,5.13420639015885,6.5,0.16
2010-03-03,80.87000274658203,1142.699951171875,9149.2998046875,1118.7900390625,2566.9892578125,18.829999923706055,5.13420639015885,6.5,0.16
2010-03-04,80.20999908447266,1132.5999755859375,9328.900390625,1122.969970703125,2565.545166015625,18.719999313354492,5.13420639015885,6.5,0.16
2010-03-05,81.5,1134.800048828125,8898.400390625,1138.699951171875,2578.671630859375,17.420000076293945,5.13420639015885,6.5,0.16
2010-03-08,81.87000274658203,1123.5999755859375,9180.0,1138.5,2626.3486328125,17.790000915527344,5.13420639015885,6.5,0.16
2010-03-09,81.48999786376953,1122.0,9173.099609375,1140.449951171875,2657.0634765625,17.920000076293945,5.13420639015885,6.5,0.16
2010-03-10,82.08999633789062,1107.800048828125,9169.900390625,1145.6099853515625,2670.114990234375,18.56999969482422,5.13420639015885,6.5,0.16
2010-03-11,82.11000061035156,1108.0,9152.900390625,1150.239990234375,2676.41796875,18.059999465942383,5.13420639015885,6.5,0.16
2010-03-12,81.23999786376953,1101.5,9144.7001953125,1149.989990234375,2666.4072265625,17.579999923706055,5.13420639015885,6.5,0.16
2010-03-15,79.80000305175781,1105.0999755859375,9205.900390625,1150.510009765625,2669.504150390625,18.0,5.13420639015885,6.5,0.16
2010-03-16,81.69999694824219,1122.199951171875,9151.7998046875,1159.4599609375,2669.504150390625,17.690000534057617,5.13420639015885,6.5,0.16
2010-03-17,82.93000030517578,1124.0,9099.5,1166.2099609375,2756.15478515625,16.90999984741211,5.13420639015885,6.5,0.16
2010-03-18,82.19999694824219,1127.4000244140625,9120.2998046875,1165.8299560546875,2737.13525390625,16.6200008392334,5.13420639015885,6.5,0.16
2010-03-19,80.68000030517578,1107.4000244140625,9110.400390625,1159.9000244140625,2742.8671875,16.969999313354492,5.13420639015885,6.5,0.16
2010-03-22,81.25,1099.300048828125,9115.400390625,1165.81005859375,2702.295654296875,16.8700008392334,5.13420639015885,6.5,0.16
2010-03-23,81.91000366210938,1103.5,9144.599609375,1174.1700439453125,2720.756103515625,16.350000381469727,5.13420639015885,6.5,0.16
2010-03-24,80.61000061035156,1088.5999755859375,9114.7001953125,1167.719970703125,2774.741943359375,17.549999237060547,5.13420639015885,6.5,0.16
2010-03-25,80.52999877929688,1092.699951171875,9132.599609375,1165.72998046875,2799.0400390625,18.399999618530273,5.13420639015885,6.5,0.16
